section,token,pos,count
body,advertised,VBN,1
body,advice,NN,6
body,advisable,JJ,3
body,advise,VB,2
body,advise,VBP,1
body,advising,VBG,1
body,affable,JJ,1
body,affair,NN,12
body,affairs,NNS,5
body,affec,SYM,1
body,affect,VB,3
body,affectation,NN,1
body,affected,VBD,2
body,affected,VBN,7
body,affection,NN,30
body,affectionate,JJ,12
body,affectionately,RB,3
body,affections,NNS,3
body,affinity,NN,1
body,affirmative,JJ,1
body,afflicted,VBN,1
body,afflicting,VBG,1
body,affliction,NN,1
body,afford,VB,6
body,afforded,VBD,2
body,afforded,VBN,1
body,affording,VBG,1
body,affords,VBZ,1
body,affront,NN,1
body,affronted,VBN,2
body,afraid,JJ,20
body,afresh,RB,1
body,after,IN,86
body,afterLady,NNP,1
body,afternoon,NN,3
body,afterwards,RB,16
body,again,RB,109
body,against,IN,33
body,age,NN,5
body,agitated,VBN,4
body,agitating,JJ,1
body,agitation,NN,4
body,agitations,NNS,1
body,ago,IN,1
body,ago,RB,19
body,agree,VB,1
body,agree,VBP,1
body,agreeable,JJ,9
body,agreeable-looking,JJ,1
body,agreed,VBD,4
body,agreed,VBN,3
body,agreeing,VBG,1
body,aid,NN,1
body,air,NN,12
body,airing,NN,1
body,alacrity,NN,2
body,alarm,NN,11
body,alarmed,JJ,1
body,alarmed,VBN,2
body,alarming,JJ,3
body,alarms,NNS,1
body,alas,UH,2
body,alighted,VBD,1
body,alike,RB,1
body,alive,JJ,2
body,all,DT,240
body,all,PDT,91
body,all,RB,5
body,allayed,VBN,1
body,alleviate,VB,1
body,alliance,NN,2
body,allow,VB,12
body,allow,VBP,1
body,allowance,NN,1
body,allowed,VBD,5
body,allowed,VBN,8
body,allowing,VBG,2
body,alluded,VBD,3
body,alluded,VBN,1
body,alluding,VBG,1
body,allurements,NNS,1
body,allusion,NN,2
body,almost,RB,34
body,alone,RB,18
body,along,IN,4
body,along,RB,2
body,aloof,JJ,2
body,aloud,RB,5
body,already,RB,11
body,also,RB,16
body,alteration,NN,4
body,altered,JJ,2
body,altered,VBN,2
body,alternate,JJ,1
body,alternative,NN,1
body,altogether,RB,2
body,always,RB,56
body,am,VBP,150
body,amazed,VBN,2
body,amazement,NN,9
body,amazing,JJ,1
body,ambition,NN,1
body,amendment,NN,1
body,amends,RB,1
body,amiable,JJ,14
body,amidst,IN,3
body,amile,NN,1
body,among,IN,11
body,amongst,IN,7
body,amount,NN,1
body,amounting,VBG,1
body,ample,JJ,1
body,amuse,VB,2
body,amused,VBD,1
body,amused,VBN,1
body,amusement,NN,3
body,amusing,JJ,1
body,an,DT,168
body,ance,IN,1
body,ancient,JJ,1
body,and,CC,1733
body,and,UNK,1
body,anew,RB,1
body,angel,NN,2
body,anger,NN,10
body,angry,JJ,13
body,anguish,NN,2
body,anhour,NN,5
body,animation,NN,2
body,annexed,VBD,1
body,announce,VB,2
body,announced,VBD,1
body,annual,JJ,1
body,annum,NN,1
body,another,DT,30
body,answer,NN,18
