section,token,pos,count
body,629,CD,1
body,63,CD,4
body,630,CD,2
body,631,CD,2
body,"631,632",CD,1
body,633,CD,1
body,633-634,CD,1
body,635,CD,3
body,636,CD,4
body,636-637,CD,1
body,637,CD,3
body,638,CD,1
body,639,CD,1
body,64,CD,5
body,"64,900,000",CD,1
body,641,CD,3
body,642,CD,7
body,642-643,CD,1
body,643,CD,7
body,644,CD,1
body,645,CD,1
body,646,CD,1
body,647,CD,1
body,"647,000",CD,1
body,649,CD,1
body,65,CD,10
body,"65,700,000,000",CD,1
body,"65,900,000",CD,1
body,651,CD,1
body,653,CD,1
body,655,CD,1
body,657,CD,1
body,658,CD,1
body,659,CD,1
body,66,CD,2
body,66-67,CD,1
body,66-68,CD,1
body,668,CD,1
body,67,CD,5
body,"67,68,112,132,133,191",CD,1
body,675,CD,2
body,68,CD,2
body,"68,275",CD,1
body,69,CD,2
body,"69,000,000",CD,1
body,6900,CD,1
body,6:10,CD,1
body,7,CD,30
body,"7,162.5",CD,1
body,"7,1937",CD,3
body,"7,1938",CD,3
body,"7,1941",CD,2
body,70,CD,8
body,"70,000",CD,1
body,700,CD,2
body,"700,000",CD,3
body,"700,000,000",CD,1
body,7000,CD,4
body,708,CD,1
body,"71,72,80,548-549",CD,1
body,72,CD,2
body,72-73,CD,2
body,72.1,CD,1
body,72.8,CD,1
body,722,CD,1
body,726,CD,1
body,73,CD,5
body,735,CD,1
body,737,CD,1
body,739,CD,1
body,74,CD,2
body,75,CD,6
body,"75,000",CD,2
body,750,CD,1
body,76,CD,2
body,77,CD,4
body,"77,112,190,191",CD,1
body,77-79,CD,1
body,78,CD,4
body,783,CD,1
body,79,CD,2
body,"79,720,000",CD,1
body,"792,000,000",CD,1
body,8,CD,33
body,"8,1937",CD,4
body,"8,1938",CD,5
body,"8,1941",CD,1
body,8.29,CD,1
body,80,CD,21
body,"80,000",CD,2
